building_address,clue_small_area,parking_type,parking_spaces,longitude,latitude,location,street_address,suburb,postcode
344-350 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,65,144.96268877625,-37.81601648208985,"-37.81601648208985, 144.96268877625",344-350 Collins Street,MELBOURNE,3000
150-154 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,61,144.9681766079,-37.81418558687795,"-37.81418558687795, 144.9681766079",150-154 Collins Street,MELBOURNE,3000
174-192 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,150,144.97059788809,-37.8112189809,"-37.8112189809, 144.97059788809",174-192 Exhibition Street,MELBOURNE,3000
548-558 Little Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,335,144.95594150995,-37.814921240455575,"-37.814921240455575, 144.95594150995",548-558 Little Bourke Street,MELBOURNE,3000
322 Lonsdale Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,312,144.96260342635097,-37.8115766472,"-37.8115766472, 144.96260342635097",322 Lonsdale Street,MELBOURNE,3000
333-351 Exhibition Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,742,144.96805995219304,-37.80780089184999,"-37.80780089184999, 144.96805995219304",333-351 Exhibition Street,MELBOURNE,3000
18-38 Siddeley Street DOCKLANDS VIC 3008,Docklands,Commercial,290,144.95381592020982,-37.8227465515,"-37.8227465515, 144.95381592020982",18-38 Siddeley Street,DOCKLANDS,3008
Carpark Olympic Park 90 Olympic Boulevard MELBOURNE VIC 3004,Melbourne (Remainder),Commercial,154,144.98245598373953,-37.8248485699,"-37.8248485699, 144.98245598373953",Carpark Olympic Park 90 Olympic Boulevard,MELBOURNE,3004
71-75 Clarke Street SOUTHBANK VIC 3006,Southbank,Commercial,253,144.96007278099006,-37.8280003958,"-37.8280003958, 144.96007278099006",71-75 Clarke Street,SOUTHBANK,3006
Royal Melbourne Hospital 300-328 Grattan Street PARKVILLE VIC 3050,Parkville,Commercial,904,144.95634030020938,-37.7986314728,"-37.7986314728, 144.95634030020938",Royal Melbourne Hospital 300-328 Grattan Street,PARKVILLE,3050
Royal Childrens Hospital 48-50 Flemington Road PARKVILLE VIC 3052,Parkville,Commercial,2000,144.9495225654,-37.79363102715632,"-37.79363102715632, 144.9495225654",Royal Childrens Hospital 48-50 Flemington Road,PARKVILLE,3052
National@Docklands 788-812 Bourke Street DOCKLANDS VIC 3008,Docklands,Commercial,60,144.94507997263105,-37.8188510467,"-37.8188510467, 144.94507997263105",National@Docklands 788-812 Bourke Street,DOCKLANDS,3008
517-537 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Commercial,117,144.95648638781466,-37.8198754458,"-37.819875445799994, 144.95648638781466",517-537 Flinders Lane,MELBOURNE,3000
172-192 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,895,144.96856313995937,-37.8166026714,"-37.8166026714, 144.96856313995937",172-192 Flinders Street,MELBOURNE,3000
327-343 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,169,144.9632685535,-37.817049064147554,"-37.817049064147554, 144.9632685535",327-343 Collins Street,MELBOURNE,3000
111-129 Bourke Street MELBOURNE VIC 3000,Melbourne (CBD),Commercial,398,144.97010937553796,-37.81281419155,"-37.81281419155, 144.97010937553796",111-129 Bourke Street,MELBOURNE,3000
